filename-1,filename-2,similarity,title-1,year-1,month-1,day-1,title-2,year-2,month-2,day-2,topic_1,year_1,month_1,day_1,topic_2,year_2,month_2,day_2
2023-01-19_3788.txt,2023-02-06_3743.txt,0.3027905623794434,Teacher among two Palestinians killed by Israeli forces in Jenin,2023,1,19,Israeli forces kill five Palestinians in Jericho raid,2023,2,6,0,2023.0,1.0,19.0,0,2023.0,2.0,6.0
2023-01-30_3759.txt,2023-02-23_3716.txt,0.3028835196550559,Jenin refugee camp residents defiant after deadly Israeli assault,2023,1,30,‘Catastrophic’: Palestinians recount fatal Israeli raid on Nablus,2023,2,23,0,2023.0,1.0,30.0,0,2023.0,2.0,23.0
2023-07-26_3400.txt,2023-07-26_3401.txt,0.3032883324371933,Palestinian teen killed by Israeli forces in occupied West Bank,2023,7,26,Israeli troops kill Palestinian man during West Bank raid,2023,7,26,0,2023.0,7.0,26.0,0,2023.0,7.0,26.0
2023-01-12_3796.txt,2023-01-25_3780.txt,0.3033283007938133,Israel kills 3 Palestinians as raids continue in West Bank,2023,1,12,Israeli forces kill two Palestinians in Jerusalem and West Bank,2023,1,25,0,2023.0,1.0,12.0,0,2023.0,1.0,25.0
2021-11-05_4327.txt,2021-11-16_4321.txt,0.3034128728194785,Israeli forces kill Palestinian boy in occupied West Bank,2021,11,5,Israeli forces kill Palestinian man in occupied West Bank,2021,11,16,0,2021.0,11.0,5.0,0,2021.0,11.0,16.0
2022-09-08_3951.txt,2022-09-15_3946.txt,0.3042564272595218,Israeli forces kill Palestinian youth near Ramallah in West Bank,2022,9,8,Israeli forces kill Palestinian teenager in occupied West Bank,2022,9,15,0,2022.0,9.0,8.0,0,2022.0,9.0,15.0
2022-06-09_4095.txt,2023-01-30_3760.txt,0.3043063477193011,Israeli forces kill Palestinian man in occupied West Bank,2022,6,9,Israeli forces kill Palestinian man in Hebron as tensions spiral,2023,1,30,0,2022.0,6.0,9.0,0,2023.0,1.0,30.0
2023-02-04_3744.txt,2023-07-21_3407.txt,0.3043422469097686,Palestinians wounded after Israeli forces raid camp in West Bank,2023,2,4,Israeli forces kill two Palestinian teens in occupied West Bank,2023,7,21,0,2023.0,2.0,4.0,0,2023.0,7.0,21.0
2022-09-28_3930.txt,2022-12-08_3851.txt,0.3045243439601879,"Israeli forces kill four Palestinians, wound dozens in Jenin raid",2022,9,28,"Israel kills three Palestinians in Jenin, general strike called",2022,12,8,0,2022.0,9.0,28.0,0,2022.0,12.0,8.0
2023-02-04_3744.txt,2023-03-18_3684.txt,0.3045293300182667,Palestinians wounded after Israeli forces raid camp in West Bank,2023,2,4,Israeli forces shoot dead Palestinian man in latest bloodshed,2023,3,18,0,2023.0,2.0,4.0,0,2023.0,3.0,18.0
2023-01-16_3793.txt,2023-02-22_3721.txt,0.3045627569889716,Israeli army kills Palestinian boy in the occupied West Bank,2023,1,16,Israeli forces kill 11 Palestinians in Nablus raid,2023,2,22,0,2023.0,1.0,16.0,0,2023.0,2.0,22.0
2022-10-21_3903.txt,2023-02-04_3744.txt,0.304579101534513,Israeli forces kill Palestinian teen in Jenin raid,2022,10,21,Palestinians wounded after Israeli forces raid camp in West Bank,2023,2,4,0,2022.0,10.0,21.0,0,2023.0,2.0,4.0
2022-05-25_4121.txt,2022-06-17_4082.txt,0.3045942902851412,Israeli forces kill Palestinian teenager in occupied West Bank,2022,5,25,Three Palestinians killed by Israeli forces in Jenin raid,2022,6,17,0,2022.0,5.0,25.0,0,2022.0,6.0,17.0
2021-06-25_4478.txt,2023-11-26_2085.txt,0.3046527615628779,Israeli settlers refuse to vacate illegal West Bank settlement,2021,6,25,Israeli settlers steal Palestinian farmers’ land in occupied West Bank,2023,11,26,0,2021.0,6.0,25.0,0,2023.0,11.0,26.0
2022-05-25_4121.txt,2022-11-14_3878.txt,0.3048150131611772,Israeli forces kill Palestinian teenager in occupied West Bank,2022,5,25,Israeli army kills Palestinian teenager in occupied West Bank,2022,11,14,0,2022.0,5.0,25.0,0,2022.0,11.0,14.0
2022-10-10_3916.txt,2022-11-21_3873.txt,0.3052482007865736,Palestinian child shot by Israeli army in Jenin dies from wounds,2022,10,10,Israeli forces kill Palestinian student ‘on his way to school’,2022,11,21,0,2022.0,10.0,10.0,0,2022.0,11.0,21.0
2022-09-08_3951.txt,2022-11-21_3873.txt,0.3053353186884823,Israeli forces kill Palestinian youth near Ramallah in West Bank,2022,9,8,Israeli forces kill Palestinian student ‘on his way to school’,2022,11,21,0,2022.0,9.0,8.0,0,2022.0,11.0,21.0
2023-08-01_3392.txt,2023-08-05_3389.txt,0.3055974931758771,Palestinian shot dead after six Israelis wounded in illegal settlement,2023,8,1,Shooter kills Tel Aviv policeman in Israel; suspect gunned down,2023,8,5,0,2023.0,8.0,1.0,0,2023.0,8.0,5.0
2023-01-29_3764.txt,2023-07-25_3403.txt,0.3056449403482126,Israeli guards kill Palestinian near West Bank settlement,2023,1,29,Three Palestinians killed by Israeli forces in occupied West Bank,2023,7,25,0,2023.0,1.0,29.0,0,2023.0,7.0,25.0
2023-05-22_3547.txt,2023-06-19_3505.txt,0.3056846450119022,Three Palestinians killed by Israeli forces in raid on Nablus,2023,5,22,Five Palestinians killed as Israeli forces raid West Bank camp,2023,6,19,0,2023.0,5.0,22.0,0,2023.0,6.0,19.0
2022-12-12_3848.txt,2023-01-12_3796.txt,0.3056858290637923,Israeli forces kill Palestinian teen in occupied West Bank raid,2022,12,12,Israel kills 3 Palestinians as raids continue in West Bank,2023,1,12,0,2022.0,12.0,12.0,0,2023.0,1.0,12.0
2023-02-27_3707.txt,2023-03-02_3700.txt,0.30577709530078,Tensions high in West Bank after deadly Israeli settler rampage,2023,2,27,Israel lifts Jericho blockade after killing Palestinian suspect,2023,3,2,0,2023.0,2.0,27.0,0,2023.0,3.0,2.0
2023-01-02_3818.txt,2023-01-19_3788.txt,0.3058517853361692,Israeli forces kill two Palestinian men in occupied West Bank,2023,1,2,Teacher among two Palestinians killed by Israeli forces in Jenin,2023,1,19,0,2023.0,1.0,2.0,0,2023.0,1.0,19.0
2022-10-21_3903.txt,2023-01-03_3815.txt,0.3060535581916668,Israeli forces kill Palestinian teen in Jenin raid,2022,10,21,Israeli forces kill Palestinian teenager in Bethlehem,2023,1,3,0,2022.0,10.0,21.0,0,2023.0,1.0,3.0
2023-01-16_3793.txt,2023-05-29_3534.txt,0.3060952233242299,Israeli army kills Palestinian boy in the occupied West Bank,2023,1,16,Palestinian Authority officer killed by Israeli forces in Jenin,2023,5,29,0,2023.0,1.0,16.0,0,2023.0,5.0,29.0
2022-09-14_3947.txt,2022-10-28_3897.txt,0.3061227526638522,"Two Palestinians, one Israeli soldier killed in Jenin shoot-out",2022,9,14,Israeli forces kill two Palestinians in occupied Nablus,2022,10,28,0,2022.0,9.0,14.0,0,2022.0,10.0,28.0
