year,month,day,length,title,file,Topic,Count,topic_1,topic_2,topic_3,topic_4,Topic_Name
2023,10,22,176,Israeli air attacks kill 30 in Gaza’s Jabalia refugee camp: Civil defence,2023-10-22_2917.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,22,176,South of Gaza Strip pounded by air strikes as civilians seek refuge,2023-10-22_2923.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,22,176,"Israeli air raids kill at least 55 in Gaza overnight, Hamas says",2023-10-22_2931.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,11,177,"What’s UN Resolution 377A, can it help in efforts to stop Israel-Gaza war?",2023-12-11_1814.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,12,11,177,What is the global strike demanding an end to Israeli war on Gaza?,2023-12-11_1816.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,12,11,177,WHO calls for immediate passage of humanitarian relief into Gaza,2023-12-11_1822.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,11,7,177,US says does not support Israeli ‘reoccupation’ of Gaza after war,2023-11-07_2502.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,18,178,No end to Palestinian suffering with no end to Israel’s war on Gaza,2023-11-18_2238.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,18,178,Israeli air strikes kill 28 Palestinians in southern Gaza,2023-11-18_2248.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,11,178,Israeli attacks target Rafah as tens of thousands flee to south Gaza,2023-11-11_2397.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,24,179,Palestinians return to destroyed homes in Gaza as Israel-Hamas truce begins,2023-11-24_2118.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,24,179,"Israel pounds Gaza ahead of truce, killing and injuring dozens",2023-11-24_2127.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,9,179,"‘Necessary’ to stand with both Israelis, Palestinians, UN rapporteur says",2023-10-09_3281.txt,77,11,rights,human,un,albanese,"rights, human, un"
2023,12,15,179,Israeli air attack on residential home in Rafah kills four Palestinians,2023-12-15_1731.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,12,15,179,Israel-Gaza war: Is the US administration divorced from reality?,2023-12-15_1746.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
